date,technology,adoption,knowledge,sentiment,total
5/2012,php,57.9121357182368,130.074131937524,-50.0,137.986267655761
5/2012,java,201.979649338554,203.365033934375,0.0,405.34468327293
5/2012,ruby,32.1249720705017,30.5431838133857,-100.0,-37.3318441161125
5/2012,objective-c,16.8266750247205,24.2709932792341,-250.0,-208.902331696045
5/2012,c++,191.156995101904,112.235601749817,0.0,303.39259685172
5/2012,php,57.9121357182368,130.074131937524,-50.0,137.986267655761
5/2012,java,201.979649338554,203.365033934375,0.0,405.34468327293
5/2012,ruby,32.1249720705017,30.5431838133857,-100.0,-37.3318441161125
5/2012,objective-c,16.8266750247205,24.2709932792341,-250.0,-208.902331696045
5/2012,c++,191.156995101904,112.235601749817,0.0,303.39259685172
5/2012,php,58.1335325143393,130.728312069764,Infinity,Infinity
5/2012,java,201.981519535131,204.189256348434,Infinity,Infinity
5/2012,ruby,32.1698972522295,30.546060567583,Infinity,Infinity
5/2012,objective-c,16.8179175711125,24.2993416438676,-Infinity,-Infinity
5/2012,c++,190.934747795028,110.720239738685,-Infinity,-Infinity
5/2012,php,58.1335325143393,130.728312069764,Infinity,Infinity
5/2012,java,201.981519535131,204.189256348434,Infinity,Infinity
5/2012,ruby,32.1698972522295,30.546060567583,Infinity,Infinity
5/2012,objective-c,16.8179175711125,24.2993416438676,-Infinity,-Infinity
5/2012,c++,190.934747795028,110.720239738685,-Infinity,-Infinity
5/2012,php,58.1335325143393,130.728312069764,500.0,688.861844584103
5/2012,java,201.981519535131,204.189256348434,300.0,706.170775883565
5/2012,ruby,32.1698972522295,30.546060567583,100.0,162.715957819812
5/2012,objective-c,16.8179175711125,24.2993416438676,-200.0,-158.88274078502
5/2012,c++,190.934747795028,110.720239738685,-700.0,-398.345012466287
5/2012,php,58.1177602912275,130.728312069764,10.0,198.846072360991
5/2012,java,201.944265968913,204.189256348434,60.0,466.133522317347
5/2012,ruby,32.1551496291312,30.546060567583,10.0,72.7012101967142
5/2012,objective-c,16.8480934388341,24.2993416438676,-20.0,21.1474350827017
5/2012,c++,190.934944279296,110.720239738685,-40.0,261.655184017981
5/2012,php,58,130,10,198
5/2012,java,201,204,60,466
5/2012,ruby,32,30,10,72
5/2012,objective-c,16,24,-20,21
5/2012,c++,190,110,-40,261
